ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13144-1,June,40x40/110x90,2600,6.8,2515.28,14.1,17.30542922,2080,2789.699571,2969.653442,2080.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,2405.92,14.1,16.12356188,2018,2789.699571,2969.653442,2018.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,1968.48,14.1,17.8046005,1618,2789.699571,2969.653442,1618.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,1788.036,14.1,18.79358134,1452,2789.699571,2969.653442,1452.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,2569.96,14.1,16.22437703,2153,2789.699571,2969.653442,2153.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,3751.048,14.1,16.34337924,3138,2789.699571,2969.653442,3138.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,2624.64,14.1,17.20769325,2173,2789.699571,2969.653442,2173.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,2187.2,14.1,16.19422092,1833,2789.699571,2969.653442,1833.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,2132.52,14.1,16.5775702,1779,2789.699571,2969.653442,1779.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,2734.0,14.1,17.00804682,2269,2789.699571,2969.653442,2269.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,1897.396,14.1,15.4630873,1604,2789.699571,2969.653442,1604.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,1531.04,14.1,15.87417703,1288,2789.699571,2969.653442,1288.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,2876.168,14.1,13.56554972,2486,2789.699571,2969.653442,2486.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,2881.636,14.1,15.56879495,2433,2789.699571,2969.653442,2433.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,3740.112,14.1,15.10949405,3175,2789.699571,2969.653442,3175.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,3740.112,14.1,16.66024975,3117,2789.699571,2969.653442,3117.0,0,0,40,40,110,90
13144-1,June,40x40/110x90,2600,6.8,157293.5816,14.1,16.4409643,TOTAL,2789.699571,2969.653442,131433.0,1572,133931,40,40,110,90
13135-2,June,40x40/110x90,69200,6.5,1968.48,14.0,15.92497765,1655,74010.69519,78693.25886,1655.0,0,0,40,40,110,90
13147-2,June,40x40/110x90,23400,6.5,2077.84,14.0,36.13560236,1327,25026.73797,26610.14823,1327.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,0.0,14.0,na,350,1881.72043,2000.774517,350.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1913.8,14.0,17.54624308,1578,1881.72043,2000.774517,1578.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1640.4,14.0,16.84954889,1364,1881.72043,2000.774517,1364.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1662.272,14.0,15.05601971,1412,1881.72043,2000.774517,1412.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2187.2,14.0,17.61155816,1802,1881.72043,2000.774517,1802.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1968.48,14.0,17.09339186,1632,1881.72043,2000.774517,1632.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1880.992,14.0,14.93850054,1600,1881.72043,2000.774517,1600.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2187.2,14.0,17.42867593,1806,1881.72043,2000.774517,1806.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1552.912,14.0,62.65081344,580,1881.72043,2000.774517,580.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,0.0,14.0,na,700,1881.72043,2000.774517,700.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1837.248,14.0,22.0029087,1433,1881.72043,2000.774517,1433.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,0.0,14.0,na,157,1881.72043,2000.774517,157.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1618.528,14.0,14.30484984,1387,1881.72043,2000.774517,1387.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2734.0,14.0,17.95903438,2243,1881.72043,2000.774517,2243.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1968.48,14.0,16.78858815,1638,1881.72043,2000.774517,1638.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2515.28,14.0,18.25959734,2056,1881.72043,2000.774517,2056.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2624.64,14.0,16.71238722,2186,1881.72043,2000.774517,2186.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2187.2,14.0,17.24579371,1810,1881.72043,2000.774517,1810.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,1897.396,14.0,17.78205498,1560,1881.72043,2000.774517,1560.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,109.36,14.0,35.99122165,70,1881.72043,2000.774517,70.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2624.64,14.0,16.6361863,2188,1881.72043,2000.774517,2188.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2187.2,14.0,17.38295538,1807,1881.72043,2000.774517,1807.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2209.072,14.0,11.63710373,1952,1881.72043,2000.774517,1952.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2734.0,14.0,14.85003658,2328,1881.72043,2000.774517,2328.0,0,0,40,40,110,90
13144-2,June,40x40/110x90,1750,7.0,2515.28,14.0,17.86202729,2066,1881.72043,2000.774517,2066.0,0,0,40,40,110,90
